
白铁矿#Marcasite(Ma)#FeS2#斜方晶系#非均性显著。偏光色：蓝、绿、黄、淡紫、紫蓝灰色。#反射率为I级，视觉反射率长轴为45.1，短轴为41.4#维氏硬度为762~1561#黄白色，或淡黄白色微带粉红色或淡绿黄色#显著：a,白至粉红棕色；b,淡黄色；c,白至乳白色#2.0°#DAr=r<v#[Rs延长(+)] #Ps=(-)#DRr=r<v#DAR：红>>蓝#无#大都形成于酸性条件地表或近地表，生成温度低；也产于中、低温热液和风化矿石中。常呈菱形、菱柱形、板状等自形或半自形晶；解理不完全，聚片双晶和环带结构很普遍。可由磁黄铁矿、黄锡矿、硫铁银矿蚀变形成，可被银黝铜矿、方铅矿、自然银交代。#白铁矿黄白色，非均性，偏光色特强，普遍具聚片双晶。
针镍矿#Millerite#β-NiS#三方晶系#非均性显著#反射率Ⅱ级，视觉反射率长轴为55.7，短轴为50.5#维氏硬度为192~376#浅黄色或纯黄色或乳黄色。#微弱，油中清楚，Ro浅黄棕色，Re亮黄色，较亮#Ar:2.2°±0.1°#DAr=r>v#[Rs延长(-)] #Ps=(+)#DRr=v≥r#DAR:蓝<<粉黄红#无#常产于热液矿床和铜镍硫化物矿床中，大多数系富Ni硫化物的次生产物。常呈针状晶体的放射状集合体或束状集合体，针晶长达10mm ,其横切面为三角形。少数为他形晶集合体。(10T1)解理常见：简单或聚片双晶普遍，偶见轮状双品。底切面可出现环带结构。磨光性良好。呈定向叶片包裹于硫钴矿中，或与硫钴矿构成连晶〔不混溶)；成紫硫镍矿和磁黄铁矿之间的反应边。可被磁黄铁矿和镍黄铁矿包裹(呈板条状晶体)。可蚀变成方硫铁镍矿和紫硫镍矿。#具浅黄色强非均质矿物非常稀少。黄铜矿为他}形晶集合体。不成针状晶，硬度也较低。本矿物与六方硫镍矿的区别主要是反射色和非均性。本矿物的反射色介于黄铜矿与黄铁矿之间。
辉锑矿#Stibnite#Sb2S3#斜方晶系#非均性显著#反射率Ⅱ级，视觉反射率长轴为6.6，短轴为30.6#维氏硬度为42~129#白色至浅灰白色。#显著:a暗灰白色，b棕灰色，c纯白色，具双晶和多方向颗粒切面中更显著#Ar:6.2°±0.1°#DAr=r<v#[Rs延长(+)] #Ps=(-)#DRr=r≥v#DAR：紫蓝>>灰黄#无(油中微弱，桔红色)#主要产于低温热液矿床中。呈长柱状、长条状、针状和粒状块体或放射状集合体。压力揉皱聚片双晶、形变现象极普遍。易磨光，常见擦痕。弱可塑性至弱脆性。可与辉铁锑矿、块硫锑铅矿、深红银矿、红锑矿、黄铁矿、毒砂、闪锌矿、黝铜矿、铅-锑含硫盐、白钨矿、块硫锑铜矿、自然金、雄黄、雌黄等共、伴生。自然金常在辉锑矿中呈超显微包体。风化后形成锑华，锑赭石、方锑矿、黄锑矿等。#以强双反射、易揉皱变形、压力揉皱双晶常见，易与其它矿物区别。
硫锑铅矿#Boulangerite#5PbS·2Sb2S3#单斜晶系#非均性，空气中清楚，油中显著。#反射率为Ⅲ级，视觉反射率长轴为43.2 ，短轴为35.9#维氏硬度为90~183#白色微带蓝绿色色调。#清楚:较脆硫锑铅矿弱，较车轮矿强。油中:c和b：灰白或白带微蓝绿，c较暗，绿灰色。#Ar=3.3°±0.2°#DAr=r>v#[Rs延长(+)] #Ps=(+)#DRr=r<v#DAR:浅蓝>>浅粉黄，弱#很微弱：油中可见粉末暗红色#常呈粒状、纤维状、针状或板状晶体及其集合体。解理、双晶、环带未见。系可塑性矿物。可与辉锑矿、脆硫锑铅矿构成定向连晶。其他共、伴生矿物有：方铅矿、闪锌矿、车轮矿、黄铜矿、黄铁矿、黝铜矿、黝锡矿、深红银矿、锡石、其他锑矿物、毒砂、磁黄铁矿、白铁矿、自然金等。硫锑铅矿分布广泛，并大量产出于中至低温热掖矿脉中，与其他Pb-Sb硫化物同为成矿后期产物。#脆硫锑铅矿常有║延长的解理，双反射也比本矿物强。斜方辉锑铅矿双晶很特征。辉锑矿的双反射、非均性均较强。车轮矿呈圆粒状且具特征的聚片双晶。
辉碲铋矿#Tetradymite#Bi2Te2S#六方晶系#清楚.蓝灰或黄灰，红灰至棕灰,45°位呈棕色#反射率为Ⅲ级，视觉反射率长轴为48.5 ，短轴为47.5#维氏硬度为1.37~4715#白色带乳色或淡黄色，较黄铜矿亮而淡，较方铅矿稍黄。#微弱，油中可见0>E#Ar=1.14°±0.1°#无#、#Ps=(-)# DRr=r<v弱#DAR：淡绿>>白甚至无色边#无#针状自形晶，具六边形横切面。它与自然金、自然铋、碲铅矿、黄铜矿、磁黄铁矿、方铅矿、辉砷镍矿等矿物伴生。主要产于中温至高温含金石英脉及黄铜矿、斑铜矿脉中，也可产于交代成因的矿床之中。#针状自形晶，具六边形横切面。
自然铋#Bismuth#Bi#三方晶系#非均性清楚显著。#反射率为Ⅰ级，视觉反射率长轴为66.8 ，短轴为59.0#维氏硬度为9~1315#亮白至亮乳白色，很快变成粉红乳色，再慢慢变成综色。#不显-微弱#Ar：2.6°±0.2°470#DAr=r<v#[Rs延长(-)] #Ps=(+)#DRr=r<v#DAR=r<<v#无#常为他形集合体或骸晶、树枝状或细小核状被包裹在方钴矿、斜方砷钴矿、斜方砷镍矿或沥青铀矿中。在方铅矿、辉铋矿、辉钼矿、毒砂、黄铜矿、硫铅秘矿、锑矿物中l和沿黑钨矿解理呈包体出现。可含辉铋矿、硫碲铋矿、斜方辉铅铋矿包体。可与方铅矿、辉铋矿、黄铜矿、白然金、磁黄铁矿构成文象连晶或蠕虫状连晶。常产于热液矿床中，伟晶气成与接触矿床中也常见。聚片和格状双晶常见，磨光性好，富擦痕，极可塑性。#以高反射率、低硬度、非均质性与聚片双晶为特征。只有自然银、自然锑、锑银矿与其相似，白然铋的色与自然银不同。
黄铜矿#Chalcopyrite#CuFeS2#四方晶系#非均性微弱。光弱时易误认为均质。强光下偏光色:灰蓝或黄绿灰色#反射率为Ⅱ级，视觉反射率长轴为6.6，短轴为30.6#维氏硬度为174~219#黄色或黄铜黄色，或黄色带绿色。过一定时候即变深变暗。含少量Se变为褐色。#无或微弱，明显者为高温产物，含铁较高。#Ar=0.32°±0.1°（一般不易测量）#DAr=r≈v#[Rs延长(+)] #无#DRr=r<v#DAR：蓝>>红#无#除风化矿床外，几乎各类矿床均可产出。常为他形粒状集合体。双晶常见（经浸蚀），呈宽窄不等的聚片状。#反射色具特征性。方黄铜矿黄色较浅，褐色较显，磁黄铁矿非均性强得多。针镍矿反射率高、色淡、强非均性。自然金反射率更高、金黄色、硬度低。
毒砂#Arsenopyrite#FeAs0.9～1.1S1.1～0.9#单斜晶系#非均性显著。偏光镜不正交时，显蓝色、绿色、褐黄色、玫瑰色等。#反射率为Ⅱ级，视觉反射率长轴为52.9，短轴为51.8#维氏硬度为715~1354100-200#亮白色微带乳色及粉红色。#微弱—清楚。油中清楚:(001)白色微带蓝色，(100)淡黄—淡粉红色，(010)粉红黄色，无白铁矿的黄绿色色调#Ar=0.5#DAr=r<v#[Rs延长(-)] #Ps=(-)#DRr=r=v或r>v#DAR：紫红—粉红>>蓝，强。#无#常产于低温热液矿床中，但主要生成于高温热液的早期，在高温含Au石英脉、高温锡矿脉以及接触交代硫化矿床中较为普遍。菱形切面，半自形粒状。高、中温者，晶粒常较粗大；低温者，晶粒常细小且常呈长条状、细长的柱状。常呈自形晶，半自形晶或骸晶；内部环带常见。#以切面常见菱形及菱柱形、消光位色散为特征。斜方砷铁矿硬度较低，反射色较白。硫锑铁矿硬度较低而反射率、双反射较高。斜方砷钴矿、斜方砷镍矿较软较白，磨光较易。白铁矿带黄色，非均性特强，产状也不同。
辉铋矿#Bismuthinite#Bi2S3#斜方晶系#非均性显著。偏光色：灰、黄棕、灰紫色至微带橄榄绿色。#反射率为Ⅱ级，视觉反射率长轴为50.3，短轴为41.9#维氏硬度为27~216#纯白色，在浸油中带蓝灰色较暗。#清楚（比辉锑矿弱），c>b>a，c黄白色，a淡灰白色，b灰白色#Ar:4.8°±0.1°#DAr=r=v或r>v#[Rs延长(+)] #Ps=(+)#DRr=r=v或r>v#DAR：蓝>>橙或肉红色，中—强#无#常产于高温热液矿脉中，也产于中、低温硫化物矿脉、伟晶花岗岩、含电气石的铜矿床以及含黑钨矿或不含黑钨矿的锡矿床中。常呈纤维状、针状、长柱状及其集合体，很少为粒状；(010)解理常见。具应力产生的纺锤状双晶。#与Bi-Pb含硫盐的区别主要依靠化学成分，但本矿物反射率偏高。与辉锑矿的区别是双反射及非均性的显著性稍弱，而反射率稍高。
辉钼矿#Molybdenite#MoS2#六方晶系#非均性特强。偏光色：白色微带淡粉红紫色，至蓝色。#反射率为Ⅱ级，视觉反射率长轴为45.3，短轴为21.8#维氏硬度为16~10115#灰白色#双反射特强。Ro：白色，Re：浅灰微带蓝灰色#Ar：12.2°±0.1°#DAr=r>v#[Rs延长(+)] #Ps=(+)#DRr=r=v或r>v#DAR：蓝紫>>玫瑰黄，中—弱。#无#主要产于高、中温气成热液矿床及接触交代矿床中。常为弯曲鳞片状、叶片状晶体，有时成玫瑰花状集合体。易变形，常具波状消光。(0001)解理常见。#以硬度、解理、晶形、双反射、非均性、偏光色为特征。
